nós,tempo,jogadas,melhoresJogadas
4449,0.49805569648742676,d7d5,"['d7d5', 'e7e5', 'e7e6', 'd7d6', 'g8f6']"
9927,1.0610253810882568,c8e6,"['g8f6', 'c7c5', 'c7c6', 'e7e6', 'g7g6']"
4289,0.4593372344970703,c7c6,"['g8f6', 'e6g4', 'c7c5', 'c7c6', 'g7g6']"
2619,0.2784230709075928,d8c7,"['e6f5', 'g8f6', 'e6g4', 'd8a5', 'g7g6']"
7642,0.7990086078643799,b8d7,"['e6f5', 'g8f6', 'e6g4', 'g7g6', 'b8d7']"
36062,4.550791501998901,a8b8,"['e6g4', 'g8f6', 'g7g6', 'a7a6', 'f7f6']"
2646,0.2757730484008789,c7b6,"['c7a5', 'c7d8', 'c7c8', 'c7b6', 'e6f5']"
29356,3.6876308917999268,b6c7,"['a7a5', 'b6a5', 'g7g6', 'g8f6', 'e6g4']"
24672,3.0838563442230225,e8d8,"['e6g4', 'g7g6', 'a7a5', 'g8f6', 'c7a5']"
2670,0.29909706115722656,c7b6,"['c7a5', 'c7c8', 'c7b6', 'c7f4', 'd7e5']"
8790,1.0356779098510742,a7a6,"['b8c8', 'd8e8', 'g8f6', 'g7g6', 'a7a5']"
4123,0.41143798828125,b8c8,"['b8c8', 'd8e8', 'b8a8', 'g8f6', 'e6g4']"
13380,1.542492151260376,g8f6,"['d8e8', 'g8f6', 'b6a5', 'a6a5', 'e6g4']"
6267,0.7891218662261963,f6e4,"['f6g4', 'f6h5', 'f6e8', 'f6e4', 'e6g4']"
23623,3.0349295139312744,c8b8,"['e6f5', 'e4c3', 'd8e8', 'g7g6', 'h7h6']"
31066,3.8806753158569336,h8g8,"['e6f5', 'e4c3', 'g7g6', 'b6a5', 'f7f5']"
25731,3.416717529296875,e4c3,"['g7g5', 'e4c3', 'e6f5', 'g7g6', 'b6a5']"
5674,0.6075217723846436,d8c8,"['e6f5', 'b8a8', 'g7g6', 'a6a5', 'e6g4']"
4878,0.4971160888671875,g8h8,"['e6g4', 'c8d8', 'g7g6', 'g7g5', 'e6f5']"
2426,0.24736595153808594,b6c7,"['b6b5', 'b6c7', 'b6d8', 'b6a7', 'e6g4']"
6294,0.7144219875335693,e6g4,"['e6g4', 'g7g6', 'c8d8', 'b7b5', 'h8g8']"
8720,0.9779691696166992,e7e6,"['e7e6', 'h8g8', 'g4h5', 'g4e6', 'b8a8']"
16458,1.9568850994110107,g4f5,"['h7h6', 'g7g6', 'h8g8', 'f8e7', 'b7b6']"
19300,2.353961706161499,f8e7,"['f5h3', 'f8e7', 'h7h6', 'b8a8', 'g7g6']"
10655,1.2482972145080566,e7g5,"['e7g5', 'f5e4', 'f5c2', 'f7f6', 'h7h6']"
4627,0.5166561603546143,f7f6,"['f5e4', 'h7h6', 'f5c2', 'f7f6', 'd7e5']"
2877,0.3075418472290039,g7g5,"['f5e4', 'f6e5', 'g7g5', 'f5c2', 'f5d3']"
5686,0.5979406833648682,d7e5,"['f5e4', 'f5c2', 'd7e5', 'f6e5', 'f5g4']"
1935,0.1591324806213379,g5g4,"['g5g4', 'e5c4', 'e6f5', 'b8a8', 'b7b5']"
1027,0.07789397239685059,e5g4,"['e5g4', 'e5c4', 'h8g8', 'c7g7', 'h7h6']"
1424,0.10945963859558105,c7g3,"['c7g3', 'h8e8', 'e6f5', 'g4h2', 'c7e7']"
1472,0.11479854583740234,g3f2,"['g3f2', 'g4h2', 'g4f2', 'h8g8', 'e6f5']"
